Table 6: Number of Canada Recovery Benefit (CRB) applications and total gross amount (in $000) by province and territory and eligibility period,,,
,,,
Eligibility Period,Province/Territory,Number of Applications,Total Gross Amount ($000)
17: 2021-05-09 to 2021-05-22,Manitoba,31420,31420
17: 2021-05-09 to 2021-05-22,Saskatchewan,26790,26790
17: 2021-05-09 to 2021-05-22,Alberta,148920,148920
17: 2021-05-09 to 2021-05-22,British Columbia,143580,143580
17: 2021-05-09 to 2021-05-22,Yukon,980,980
17: 2021-05-09 to 2021-05-22,Northwest Territories,1390,1390
17: 2021-05-09 to 2021-05-22,Nunavut,920,920
17: 2021-05-09 to 2021-05-22,Outside Canada,230,230
17: 2021-05-09 to 2021-05-22,Missing,-,-
17: 2021-05-09 to 2021-05-22,Total,1126920,1126920
18: 2021-05-23 to 2021-06-05,Newfoundland and Labrador,10500,10500
18: 2021-05-23 to 2021-06-05,Prince Edward Island,2520,2520
18: 2021-05-23 to 2021-06-05,Nova Scotia,25520,25520
18: 2021-05-23 to 2021-06-05,New Brunswick,13950,13950
18: 2021-05-23 to 2021-06-05,Quebec,159380,159380
18: 2021-05-23 to 2021-06-05,Ontario,540310,540310
18: 2021-05-23 to 2021-06-05,Manitoba,31270,31270
18: 2021-05-23 to 2021-06-05,Saskatchewan,26170,26170
18: 2021-05-23 to 2021-06-05,Alberta,144200,144200
18: 2021-05-23 to 2021-06-05,British Columbia,139070,139070
18: 2021-05-23 to 2021-06-05,Yukon,960,960
18: 2021-05-23 to 2021-06-05,Northwest Territories,1370,1370
18: 2021-05-23 to 2021-06-05,Nunavut,960,960
18: 2021-05-23 to 2021-06-05,Outside Canada,240,240
18: 2021-05-23 to 2021-06-05,Missing,-,-
18: 2021-05-23 to 2021-06-05,Total,1096410,1096410
19: 2021-06-06 to 2021-06-19,Newfoundland and Labrador,10010,10010
19: 2021-06-06 to 2021-06-19,Prince Edward Island,2430,2430
19: 2021-06-06 to 2021-06-19,Nova Scotia,22580,22580
